id;name;email;phone_number;address;fax;latitude;longitude;other_details;type_id
1;Industrial;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome;Aruba;software scale interactive;82873;58675;../fake-data/blob/hipster.txt;1
2;Specialist Home Loan Account;Brooks.Grimes7@gmail.com;Administrator;reinvent 24 hour Jewelery;monitor;72900;79017;../fake-data/blob/hipster.txt;2
3;Checking Account Identity deposit;Sally.Stanton@hotmail.com;Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;11959;../fake-data/blob/hipster.txt;3
4;bus synthesize Idaho;Derrick52@hotmail.com;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;90756;13933;../fake-data/blob/hipster.txt;4
5;Investment Account;Nicolas94@yahoo.com;Money Market Account;Salad Web virtual;Refined Squares;21844;18657;../fake-data/blob/hipster.txt;5
6;Human Ghana;Bonnie.Tremblay@hotmail.com;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;11986;26941;../fake-data/blob/hipster.txt;6
7;User-centric Gloves;Joshuah.Lynch36@gmail.com;Engineer;Exclusive Moroccan Dirham card;zero tolerance;3688;26678;../fake-data/blob/hipster.txt;7
8;Analyst paradigms;Dulce_Heathcote23@gmail.com;Granite Berkshire Designer;Credit Card Account;navigate;23763;24215;../fake-data/blob/hipster.txt;8
9;cross-platform Point Orchestrator;Kailee79@yahoo.com;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617;17436;../fake-data/blob/hipster.txt;9
10;Yen synthesize Creative;Mariah.Hayes20@gmail.com;Tanzania Fiji Dollar Profound;parsing;Borders content-based;99625;9310;../fake-data/blob/hipster.txt;10
