id;name;number_of_house_hold;phone_number;address;church_id
1;mobile Fish;77969;Savings Account Dam;Practical Fresh Pants;1
2;Metal deposit;5641;transmitter Implementation Electronics;Soap methodology Albania;2
3;Home Namibia;39986;Gorgeous Frozen Pants;Common;3
4;Savings Account syndicate Planner;46676;HDD;Table Small Frozen Sausages Planner;4
5;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized;5
6;copy convergence;20794;Georgia Industrial;connect Markets Chief;6
7;capacitor archive;57044;Aruba;software scale interactive;7
8;Louisiana Specialist Home Loan Account;27599;scalable;Small;8
9;deliverables reinvent 24 hour;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;9
10;generating Highway Ergonomic;37081;Lempira;pixel withdrawal;10
